day	hour	value
0	0	0.0093005428135
0	1	13.2676470754
0	2	11.2776127479
0	3	6.66341617393
0	4	9.99075582411
0	5	9.69736597354
0	6	16.3782558946
0	7	4.82613621631
0	8	12.0816869494
0	9	14.4925003805
0	10	0.574660812022
0	11	0.740661409511
1	0	6.64412240662
1	1	0.0
1	2	18.1691254907
1	3	4.90250575096
1	4	16.2124191781
1	5	13.4685021371
1	6	16.3069018817
1	7	3.71806129039
1	8	7.53510446072
1	9	9.27947867608
1	10	3.16611394527
1	11	0.597664782334
2	0	4.48878538403
2	1	14.7324750685
2	2	0.0
2	3	4.51194466226
2	4	19.8525565139
2	5	12.804376986
2	6	18.5250713882
2	7	3.32141668949
2	8	4.53428102197
2	9	13.7744803563
2	10	3.20761881474
2	11	0.246993114523
3	0	7.75755216603
3	1	11.5193793685
3	2	13.0753970286
3	3	0.0
3	4	13.2061749009
3	5	12.3719964625
3	6	11.4920628417
3	7	9.62088075312
3	8	8.17617793986
3	9	9.28352164664
3	10	3.1724731359
3	11	0.324383756227
4	0	3.98039940567
4	1	13.0062329136
4	2	19.5520873314
4	3	4.52834009527
4	4	0.0153056058547
4	5	11.9854667386
4	6	18.948575519
4	7	3.50027432355
4	8	5.52967992446
4	9	15.6243156628
4	10	2.77160974944
4	11	0.557712730261
5	0	4.84928381075
5	1	13.2695806171
5	2	15.5760874809
5	3	5.1824742941
5	4	14.7138790581
5	5	0.0275293670232
5	6	16.4828537453
5	7	4.29784504656
5	8	10.1400308215
5	9	9.67061254261
5	10	4.85935899146
5	11	0.930464224594
6	0	5.92244201094
6	1	11.6502278239
6	2	16.3303500549
6	3	3.54393901497
6	4	16.869406353
6	5	11.8327044162
6	6	0.0340376480311
6	7	3.4611829442
6	8	11.1149776526
6	9	14.6903444001
6	10	3.81624019922
6	11	0.734147481975
7	0	6.79040214722
7	1	10.5269043901
7	2	11.6129379652
7	3	11.6502160055
7	4	12.3092089186
7	5	12.3651259791
7	6	13.4714553761
7	7	0.0
7	8	7.57324099425
7	9	10.3732360238
7	10	2.83561626814
7	11	0.491655931972
8	0	8.26765485533
8	1	10.1654199419
8	2	7.61675380859
8	3	4.86024218699
8	4	9.38166489458
8	5	13.9053853915
8	6	20.2146970783
8	7	3.59854696159
8	8	0.0
8	9	16.1689167594
8	10	4.32193281682
8	11	1.49878530501
9	0	7.19126668102
9	1	9.09828346965
9	2	15.7741874731
9	3	3.57915411106
9	4	17.9607458028
9	5	9.01232242789
9	6	19.4253120964
9	7	3.3152173913
9	8	11.5334427464
9	9	0.00470835126991
9	10	2.59820275506
9	11	0.50715669393
10	0	0.907646925346
10	1	10.808259587
10	2	13.4663036079
10	3	4.52098933515
10	4	11.3510324484
10	5	16.0989335149
10	6	17.9305650102
10	7	3.20444746993
10	8	10.6889040163
10	9	9.38824597232
10	10	0.026321760835
10	11	1.60835035171
11	0	5.16140675404
11	1	9.6911728214
11	2	5.0395903359
11	3	2.25134787611
11	4	11.4958604976
11	5	13.5080872566
11	6	16.7881071082
11	7	2.75666042546
11	8	16.6843375668
11	9	8.71664147623
11	10	7.90678788152
11	11	0.0
